title,filename1km,filename5km,filename10km,filename50km,filename100km
 Topographic Position Index- Standard deviation  ,tpi_1KMsd_GMTEDmd,tpi_5KMsd_GMTEDmd,tpi_10KMsd_GMTEDmd,tpi_50KMsd_GMTEDmd,tpi_100KMsd_GMTEDmd
 Terrain Ruggedness Index - Median  ,tri_1KMmd_GMTEDmd,tri_5KMmd_GMTEDmd,tri_10KMmd_GMTEDmd,tri_50KMmd_GMTEDmd,tri_100KMmd_GMTEDmd
 Terrain Ruggedness Index - Standard deviation  ,tri_1KMsd_GMTEDmd,tri_5KMsd_GMTEDmd,tri_10KMsd_GMTEDmd,tri_50KMsd_GMTEDmd,tri_100KMsd_GMTEDmd
 Vector Ruggedness Measure - Median  ,vrm_1KMmd_GMTEDmd,vrm_5KMmd_GMTEDmd,vrm_10KMmd_GMTEDmd,vrm_50KMmd_GMTEDmd,vrm_100KMmd_GMTEDmd
 Vector Ruggedness Measure - Standard deviation  ,vrm_1KMsd_GMTEDmd,vrm_5KMsd_GMTEDmd,vrm_10KMsd_GMTEDmd,vrm_50KMsd_GMTEDmd,vrm_100KMsd_GMTEDmd
 Flat geomorphological landform - Percentage  ,geomflat_1KMperc_GMTEDmd,geomflat_5KMperc_GMTEDmd,geomflat_10KMperc_GMTEDmd,geomflat_50KMperc_GMTEDmd,geomflat_100KMperc_GMTEDmd
 Peak geomorphological landform - Percentage  ,geompeak_1KMperc_GMTEDmd,geompeak_5KMperc_GMTEDmd,geompeak_10KMperc_GMTEDmd,geompeak_50KMperc_GMTEDmd,geompeak_100KMperc_GMTEDmd
 Ridge geomorphological landform - Percentage,geomridge_1KMperc_GMTEDmd,geomridge_5KMperc_GMTEDmd,geomridge_10KMperc_GMTEDmd,geomridge_50KMperc_GMTEDmd,geomridge_100KMperc_GMTEDmd
 Shoulder geomorphological landform - Percentage,geomshoulder_1KMperc_GMTEDmd,geomshoulder_5KMperc_GMTEDmd,geomshoulder_10KMperc_GMTEDmd,geomshoulder_50KMperc_GMTEDmd,geomshoulder_100KMperc_GMTEDmd
 Spur geomorphological landform - Percentage,geomspur_1KMperc_GMTEDmd_p,geomspur_5KMperc_GMTEDmd_p,geomspur_10KMperc_GMTEDmd_p,geomspur_50KMperc_GMTEDmd_p,geomspur_100KMperc_GMTEDmd_p
 Slope geomorphological landform - Percentage,geomfootslope_1KMperc_GMTEDmd,geomfootslope_5KMperc_GMTEDmd,geomfootslope_10KMperc_GMTEDmd,geomfootslope_50KMperc_GMTEDmd,geomfootslope_100KMperc_GMTEDmd
 Hollow geomorphological landform - Percentage,geomhollow_1KMperc_GMTEDmd,geomhollow_5KMperc_GMTEDmd,geomhollow_10KMperc_GMTEDmd,geomhollow_50KMperc_GMTEDmd,geomhollow_100KMperc_GMTEDmd
 Footslope geomorphological landform - Percentage,geomslope_1KMperc_GMTEDmd,geomslope_5KMperc_GMTEDmd,geomslope_10KMperc_GMTEDmd,geomslope_50KMperc_GMTEDmd,geomslope_100KMperc_GMTEDmd
 Valley geomorphological landform - Percentage,geomvalley_1KMperc_GMTEDmd,geomvalley_5KMperc_GMTEDmd,geomvalley_10KMperc_GMTEDmd,geomvalley_50KMperc_GMTEDmd,geomvalley_100KMperc_GMTEDmd
 Pit geomorphological landform - Percentage,geompit_1KMperc_GMTEDmd,geompit_5KMperc_GMTEDmd,geompit_10KMperc_GMTEDmd,geompit_50KMperc_GMTEDmd,geompit_100KMperc_GMTEDmd
 Majority of geomorphological landforms  ,geom_1KMmaj_GMTEDmd,geom_5KMmaj_GMTEDmd,geom_10KMmaj_GMTEDmd,geom_50KMmaj_GMTEDmd,geom_100KMmaj_GMTEDmd
 Count of geomorphological landforms  ,geom_1KMcount_GMTEDmd,geom_5KMcount_GMTEDmd,geom_10KMcount_GMTEDmd,geom_50KMcount_GMTEDmd,geom_100KMcount_GMTEDmd
 Shannon index of geomorphological landforms    ,geom_1KMsha_GMTEDmd,geom_5KMsha_GMTEDmd,geom_10KMsha_GMTEDmd,geom_50KMsha_GMTEDmd,geom_100KMsha_GMTEDmd
